Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
293671878,SMP,1,109.00,97.00,4.20,114.00,100.00,4.40,410.63,371.92,467.95,375.97,556.97,395.99,37.19,0.37,-22.27,-27.35,0.02,-22.21,0.01,-0.17,0.99,0.13,-0.14,0.98,00:00:00:01,
293703068,SMP,1,109.00,97.00,4.18,116.00,100.00,4.42,411.88,381.44,467.26,385.46,558.85,406.36,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.01,-0.18,0.98,0.13,-0.15,0.98,00:00:00:02,
293719800,SMP,1,109.00,98.00,4.18,116.00,102.00,4.40,411.46,388.06,467.77,391.97,557.83,411.41,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.01,-0.19,0.98,0.13,-0.16,0.98,00:00:00:02,
293736429,SMP,1,108.00,99.00,4.22,114.00,102.00,4.38,410.90,392.06,466.87,395.92,557.39,415.37,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.01,-0.19,0.98,0.13,-0.16,0.98,00:00:00:03,
293753054,SMP,1,108.00,97.00,4.18,114.00,100.00,4.38,409.36,395.94,463.80,399.27,556.53,421.18,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.01,-0.19,0.98,0.13,-0.17,0.98,00:00:00:03,
293769777,SMP,1,108.00,98.00,4.18,114.00,102.00,4.38,406.93,399.33,462.07,402.54,553.86,423.65,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.01,-0.20,0.98,0.14,-0.17,0.98,00:00:00:04,
293786331,SMP,1,108.00,99.00,4.18,114.00,102.00,4.36,404.34,401.97,459.67,404.68,551.25,426.52,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.02,-0.20,0.98,0.14,-0.18,0.97,00:00:00:04,
293803087,SMP,1,108.00,99.00,4.08,114.00,102.00,4.34,400.61,402.77,456.38,406.46,547.89,425.39,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.02,-0.20,0.98,0.14,-0.17,0.97,00:00:00:05,
293819581,SMP,1,106.00,98.00,4.06,112.00,102.00,4.30,398.38,402.41,453.75,406.52,546.18,424.93,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.02,-0.20,0.98,0.15,-0.17,0.97,00:00:00:05,
293836878,SMP,1,106.00,98.00,4.06,112.00,102.00,4.30,394.15,402.19,450.58,405.78,541.73,424.41,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.03,-0.20,0.98,0.15,-0.17,0.97,00:00:00:06,
293869891,SMP,1,105.00,97.00,4.04,110.00,100.00,4.26,387.12,398.42,443.29,402.50,535.72,420.73,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.04,-0.20,0.98,0.16,-0.17,0.97,00:00:00:07,
293886223,SMP,1,106.00,95.00,4.02,112.00,98.00,4.24,383.77,397.77,440.56,401.94,532.47,419.43,37.19,0.38,-22.27,-27.35,0.02,-22.21,0.04,-0.20,0.98,0.16,-0.17,0.97,00:00:00:07,
293903155,SMP,1,106.00,96.00,4.02,112.00,100.00,4.28,379.69,394.20,436.75,399.09,528.98,415.03,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.04,-0.19,0.98,0.17,-0.16,0.97,00:00:00:08,
293919450,SMP,1,106.00,96.00,4.04,112.00,100.00,4.26,374.77,392.74,433.26,396.37,523.61,414.19,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.05,-0.19,0.98,0.17,-0.16,0.97,00:00:00:08,
293936638,SMP,1,105.00,95.00,4.06,110.00,98.00,4.26,371.55,389.91,429.04,394.65,521.53,411.20,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.05,-0.19,0.98,0.17,-0.16,0.97,00:00:00:09,
293952973,SMP,1,106.00,96.00,4.04,112.00,98.00,4.26,366.37,389.81,424.59,393.89,516.40,411.39,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.06,-0.19,0.98,0.18,-0.16,0.97,00:00:00:10,
293969333,SMP,1,106.00,95.00,4.04,112.00,98.00,4.30,359.43,389.19,419.06,393.89,509.85,408.68,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.06,-0.19,0.98,0.19,-0.16,0.97,00:00:00:10,
293985941,SMP,1,106.00,94.00,4.04,112.00,96.00,4.26,354.14,386.51,415.30,389.51,504.09,407.38,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.07,-0.18,0.98,0.19,-0.15,0.97,00:00:00:10,
294002538,SMP,1,105.00,95.00,4.10,110.00,98.00,4.24,348.48,384.66,409.99,388.31,499.18,404.66,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.07,-0.18,0.98,0.20,-0.15,0.97,00:00:00:11,
294019164,SMP,1,105.00,94.00,4.04,110.00,96.00,4.24,348.60,380.57,408.58,384.55,500.05,402.10,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.18,0.98,0.20,-0.15,0.97,00:00:00:12,
294035908,SMP,1,104.00,93.00,4.04,110.00,96.00,4.20,377.59,364.71,432.43,371.50,529.19,388.67,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.05,-0.16,0.99,0.17,-0.13,0.98,00:00:00:12,
294052577,SMP,1,105.00,93.00,4.08,110.00,94.00,4.22,377.97,357.65,435.41,362.10,527.89,383.30,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.04,-0.15,0.99,0.17,-0.13,0.98,00:00:00:12,
294069156,SMP,1,105.00,91.00,4.04,112.00,94.00,4.24,365.63,355.74,425.06,361.28,516.30,378.61,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.06,-0.15,0.99,0.18,-0.12,0.98,00:00:00:13,
294085783,SMP,1,106.00,93.00,4.12,110.00,94.00,4.22,354.58,355.44,417.46,360.57,504.95,376.13,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.06,-0.15,0.99,0.19,-0.12,0.97,00:00:00:14,
294102453,SMP,1,105.00,92.00,4.10,110.00,92.00,4.24,344.20,353.83,407.66,360.73,496.19,371.98,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.15,0.99,0.20,-0.11,0.97,00:00:00:14,
294119036,SMP,1,106.00,92.00,4.12,112.00,94.00,4.24,332.80,351.42,397.22,358.29,485.85,369.46,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.09,-0.15,0.99,0.22,-0.11,0.97,00:00:00:14,
294135650,SMP,1,104.00,91.00,4.02,110.00,94.00,4.22,321.30,351.96,386.89,359.84,475.79,367.75,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.10,-0.15,0.98,0.23,-0.11,0.97,00:00:00:15,
294152312,SMP,1,104.00,90.00,4.02,110.00,92.00,4.24,311.79,350.07,378.57,358.55,467.40,364.54,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.11,-0.15,0.98,0.24,-0.11,0.97,00:00:00:15,
294168918,SMP,1,105.00,90.00,4.04,112.00,92.00,4.24,300.39,349.79,369.10,357.73,456.71,363.84,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.12,-0.15,0.98,0.25,-0.10,0.96,00:00:00:16,
294185580,SMP,1,104.00,90.00,4.02,110.00,92.00,4.22,287.74,346.84,357.38,356.61,446.49,358.28,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.13,-0.14,0.98,0.26,-0.10,0.96,00:00:00:16,
294202297,SMP,1,103.00,92.00,4.06,108.00,92.00,4.18,274.32,347.05,347.89,357.45,434.38,354.69,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.14,-0.15,0.98,0.27,-0.09,0.96,00:00:00:17,
294218948,SMP,1,105.00,85.00,3.98,112.00,90.00,4.22,267.15,339.41,343.43,347.88,426.48,349.68,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.15,-0.13,0.98,0.28,-0.09,0.95,00:00:00:17,
294235609,SMP,1,105.00,91.00,4.04,110.00,90.00,4.24,260.55,343.09,336.32,355.11,423.24,347.64,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.16,-0.14,0.98,0.29,-0.09,0.95,00:00:00:18,
294252189,SMP,1,105.00,90.00,4.06,110.00,90.00,4.20,257.32,339.23,334.09,351.65,420.51,343.28,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.16,-0.14,0.98,0.29,-0.08,0.95,00:00:00:18,
294268817,SMP,1,103.00,90.00,4.04,108.00,90.00,4.20,270.44,332.72,342.28,345.68,432.96,340.64,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.15,-0.13,0.98,0.28,-0.08,0.96,00:00:00:19,
294285434,SMP,1,80.00,71.00,4.20,100.00,56.00,3.70,372.59,308.96,405.77,322.07,537.41,348.38,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.11,0.99,0.16,-0.09,0.98,00:00:00:19,
294302608,SMP,1,102.00,83.00,4.06,106.00,84.00,4.12,470.80,283.59,514.85,294.09,623.89,319.54,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.05,-0.07,1.00,0.06,-0.05,1.00,00:00:00:20,
294335382,SMP,1,107.00,84.00,4.18,110.00,86.00,4.22,470.64,275.48,526.33,279.41,615.37,311.31,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.06,-0.06,1.00,0.07,-0.04,1.00,00:00:00:21,
294351973,SMP,1,106.00,85.00,4.16,108.00,88.00,4.22,457.83,273.51,512.72,279.95,604.41,307.43,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.05,-0.06,1.00,0.08,-0.04,1.00,00:00:00:21,
294369033,SMP,1,107.00,83.00,4.20,110.00,84.00,4.22,442.89,272.66,498.26,281.73,590.82,303.35,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.03,-0.06,1.00,0.10,-0.03,0.99,00:00:00:22,
294401899,SMP,1,107.00,85.00,4.18,110.00,86.00,4.24,417.96,276.15,472.62,286.84,568.71,305.33,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.00,-0.07,1.00,0.12,-0.04,0.99,00:00:00:23,
294418552,SMP,1,107.00,85.00,4.14,110.00,88.00,4.26,406.34,277.34,461.93,290.09,558.20,303.14,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.01,-0.07,1.00,0.14,-0.03,0.99,00:00:00:23,
294435160,SMP,1,107.00,86.00,4.20,110.00,88.00,4.28,398.21,281.22,455.30,295.96,550.74,302.62,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.02,-0.08,1.00,0.14,-0.03,0.99,00:00:00:24,
294451792,SMP,1,108.00,86.00,4.20,112.00,88.00,4.30,390.66,282.68,448.06,298.41,544.20,302.28,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.03,-0.08,1.00,0.15,-0.03,0.99,00:00:00:25,
294468514,SMP,1,108.00,86.00,4.20,112.00,86.00,4.28,389.13,282.39,446.41,298.50,543.07,301.58,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.03,-0.08,1.00,0.15,-0.03,0.99,00:00:00:25,
294485056,SMP,1,108.00,86.00,4.20,112.00,88.00,4.26,390.82,282.31,447.42,298.47,544.93,301.89,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.03,-0.08,1.00,0.15,-0.03,0.99,00:00:00:25,
294501633,SMP,1,108.00,86.00,4.20,110.00,86.00,4.26,388.27,285.13,444.04,300.48,542.65,306.26,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.03,-0.08,1.00,0.15,-0.04,0.99,00:00:00:26,
294518406,SMP,1,105.00,87.00,4.04,110.00,88.00,4.24,356.98,302.79,415.32,319.60,514.38,317.47,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.07,-0.10,0.99,0.19,-0.05,0.98,00:00:00:27,
294535056,SMP,1,108.00,88.00,4.18,114.00,88.00,4.34,340.77,308.76,404.06,324.78,497.79,320.37,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.11,0.99,0.20,-0.05,0.98,00:00:00:27,
294551684,SMP,1,108.00,87.00,4.08,114.00,88.00,4.34,342.79,309.07,404.47,325.03,500.11,321.92,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.11,0.99,0.20,-0.06,0.98,00:00:00:27,
294568318,SMP,1,108.00,88.00,4.10,114.00,88.00,4.34,341.70,308.20,403.17,323.85,499.05,321.98,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.08,-0.11,0.99,0.20,-0.06,0.98,00:00:00:28,
294584939,SMP,1,106.00,87.00,4.04,112.00,88.00,4.28,337.95,311.38,398.79,326.94,495.95,325.35,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.09,-0.11,0.99,0.21,-0.06,0.98,00:00:00:28,
294601570,SMP,1,106.00,87.00,4.04,112.00,88.00,4.26,331.81,315.48,392.09,329.94,490.12,331.22,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.09,-0.12,0.99,0.21,-0.07,0.97,00:00:00:29,
294618120,SMP,1,105.00,89.00,4.04,110.00,90.00,4.22,321.83,324.26,384.02,338.32,480.55,337.87,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.10,-0.12,0.99,0.22,-0.07,0.97,00:00:00:29,
294634781,SMP,1,104.00,88.00,4.00,110.00,88.00,4.22,308.03,336.64,373.09,350.81,467.88,345.78,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.12,-0.14,0.98,0.24,-0.08,0.97,00:00:00:30,
294651469,SMP,1,103.00,89.00,3.96,110.00,90.00,4.20,293.99,351.75,360.53,364.88,454.84,359.00,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.13,-0.15,0.98,0.25,-0.10,0.96,00:00:00:30,
294668005,SMP,1,103.00,91.00,4.02,108.00,92.00,4.16,279.47,366.54,348.17,378.46,441.25,371.56,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.14,-0.17,0.98,0.27,-0.11,0.96,00:00:01:00,
294684782,SMP,1,85.00,75.00,3.98,100.00,64.00,3.62,328.28,350.45,364.26,363.62,494.35,384.04,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.13,-0.15,0.98,0.21,-0.13,0.97,00:00:01:00,
294701422,SMP,1,81.00,79.00,3.90,96.00,80.00,3.80,427.49,276.90,448.13,296.31,599.08,319.06,37.19,0.38,-22.27,-27.35,0.03,-22.21,0.03,-0.08,1.00,0.09,-0.05,0.99,00:00:01:01,
294718027,SMP,1,94.00,71.00,3.74,96.00,74.00,3.76,508.08,205.89,517.98,218.40,688.45,266.64,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.05,0.01,1.00,-0.01,0.01,1.00,00:00:01:01,
294734794,SMP,1,95.00,63.00,3.62,96.00,68.00,3.64,553.48,144.92,560.15,155.05,741.35,209.60,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.10,0.08,0.99,-0.06,0.07,1.00,00:00:01:02,
294751277,SMP,1,92.00,58.00,3.58,94.00,62.00,3.42,601.21,90.45,605.34,95.11,797.64,159.28,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.14,0.14,0.98,-0.12,0.12,0.99,00:00:01:02,
294768109,SMP,1,91.00,54.00,3.40,92.00,60.00,3.34,646.45,55.07,647.48,52.00,850.64,127.22,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.18,0.18,0.97,-0.16,0.15,0.97,00:00:01:03,
294784527,SMP,1,91.00,54.00,3.46,92.00,60.00,3.30,670.91,45.63,668.47,35.01,877.07,119.13,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.20,0.20,0.96,-0.19,0.16,0.97,00:00:01:03,
294801158,SMP,1,92.00,55.00,3.44,92.00,62.00,3.38,673.44,44.35,675.88,47.29,880.54,113.48,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.21,0.19,0.96,-0.19,0.16,0.97,00:00:01:04,
294817744,SMP,1,92.00,60.00,3.58,92.00,66.00,3.62,652.65,68.47,650.24,82.19,863.70,131.74,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.19,0.15,0.97,-0.18,0.15,0.97,00:00:01:05,
294834536,SMP,1,95.00,63.00,3.66,96.00,68.00,3.78,627.14,98.14,620.81,119.35,837.94,154.30,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.16,0.12,0.98,-0.15,0.13,0.98,00:00:01:05,
294851194,SMP,1,94.00,63.00,3.62,96.00,68.00,3.78,604.44,121.67,594.29,150.13,815.72,174.04,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.13,0.08,0.99,-0.14,0.11,0.99,00:00:01:06,
294867733,SMP,1,95.00,67.00,3.68,98.00,72.00,3.84,583.52,147.79,573.94,180.63,790.56,196.84,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.11,0.05,0.99,-0.11,0.08,0.99,00:00:01:06,
294884361,SMP,1,95.00,69.00,3.72,98.00,74.00,3.96,565.91,171.30,554.31,208.64,772.25,216.74,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.09,0.02,1.00,-0.09,0.06,0.99,00:00:01:07,
294901019,SMP,1,96.00,72.00,3.74,98.00,76.00,3.98,550.04,191.12,535.30,228.74,757.20,237.02,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.07,0.00,1.00,-0.08,0.04,1.00,00:00:01:07,
294917655,SMP,1,97.00,75.00,3.78,100.00,80.00,4.00,537.81,208.11,521.41,247.20,744.86,253.12,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.05,-0.02,1.00,-0.07,0.02,1.00,00:00:01:07,
294934237,SMP,1,98.00,75.00,3.74,102.00,80.00,4.02,527.41,219.15,510.85,259.57,733.21,263.13,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.04,-0.04,1.00,-0.06,0.01,1.00,00:00:01:08,
294950951,SMP,1,98.00,76.00,3.76,102.00,80.00,4.02,518.59,226.38,501.38,266.97,723.99,270.34,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.03,-0.04,1.00,-0.05,0.00,1.00,00:00:01:09,
294967543,SMP,1,98.00,76.00,3.74,102.00,80.00,4.02,511.57,232.10,495.06,273.57,715.44,275.27,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.02,-0.05,1.00,-0.04,0.00,1.00,00:00:01:09,
294984168,SMP,1,97.00,76.00,3.72,100.00,80.00,3.98,503.79,233.54,485.81,274.54,708.46,277.14,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.01,-0.05,1.00,-0.03,0.00,1.00,00:00:01:09,
295000920,SMP,1,97.00,76.00,3.72,100.00,80.00,3.98,498.44,236.16,481.04,276.38,701.93,280.54,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.01,-0.05,1.00,-0.02,-0.01,1.00,00:00:01:10,
295017533,SMP,1,97.00,78.00,3.68,102.00,82.00,3.94,499.65,261.93,485.29,300.90,698.97,308.62,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.01,-0.08,1.00,-0.02,-0.04,1.00,00:00:01:10,
295034120,SMP,1,97.00,81.00,3.68,100.00,84.00,3.94,486.44,358.76,493.42,348.66,690.72,358.18,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.02,-0.14,0.99,-0.02,-0.09,1.00,00:00:01:11,
295050779,SMP,1,97.00,86.00,3.62,102.00,90.00,3.96,489.84,380.57,496.86,400.02,674.94,407.92,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.03,-0.20,0.98,0.00,-0.15,0.99,00:00:01:11,
295067377,SMP,1,97.00,89.00,3.64,102.00,94.00,3.96,488.29,425.70,502.35,446.59,663.68,452.85,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.03,-0.25,0.97,0.01,-0.20,0.98,00:00:01:12,
295084021,SMP,1,98.00,93.00,3.64,104.00,98.00,3.98,487.77,467.21,506.46,486.75,658.09,490.21,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.04,-0.29,0.96,0.02,-0.24,0.97,00:00:01:12,
295100649,SMP,1,99.00,97.00,3.70,104.00,102.00,4.00,488.18,492.68,509.65,511.28,654.98,514.85,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.04,-0.32,0.95,0.02,-0.27,0.96,00:00:01:13,
295117345,SMP,1,100.00,98.00,3.80,104.00,102.00,4.02,498.39,508.17,523.21,525.65,661.67,527.63,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.06,-0.33,0.94,0.01,-0.28,0.96,00:00:01:13,
295133950,SMP,1,101.00,72.00,3.70,104.00,104.00,4.02,505.30,500.87,529.02,516.57,665.46,539.85,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.06,-0.32,0.94,0.00,-0.29,0.96,00:00:01:14,
295150664,SMP,1,103.00,59.00,3.66,106.00,60.00,4.00,507.84,504.41,535.91,520.37,666.19,530.95,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.07,-0.33,0.94,0.00,-0.29,0.96,00:00:01:14,
295167291,SMP,1,100.00,79.00,3.76,104.00,62.00,3.90,516.18,530.39,548.80,543.90,675.61,525.70,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.08,-0.35,0.93,-0.01,-0.28,0.96,00:00:01:15,
295183898,SMP,1,104.00,60.00,3.80,106.00,72.00,3.94,530.31,506.62,558.54,523.06,689.09,526.85,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.10,-0.33,0.94,-0.02,-0.28,0.96,00:00:01:15,
295200796,SMP,1,102.00,79.00,3.74,102.00,104.00,4.00,538.20,500.44,562.31,515.28,697.57,542.78,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.10,-0.32,0.94,-0.03,-0.29,0.96,00:00:01:16,
295233827,SMP,1,102.00,68.00,3.70,104.00,80.00,3.92,539.90,481.84,569.78,498.30,697.51,502.88,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.11,-0.30,0.95,-0.03,-0.25,0.97,00:00:01:17,
295250401,SMP,1,102.00,82.00,3.70,104.00,94.00,3.98,541.80,475.41,569.82,491.56,700.10,505.09,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.11,-0.29,0.95,-0.03,-0.26,0.97,00:00:01:18,
295267081,SMP,1,101.00,94.00,3.82,104.00,94.00,3.98,540.06,481.37,568.57,498.61,699.90,497.42,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.11,-0.30,0.95,-0.03,-0.25,0.97,00:00:01:18,
295283663,SMP,1,102.00,84.00,3.74,104.00,100.00,4.04,541.07,437.31,562.07,452.87,705.11,484.53,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.10,-0.25,0.96,-0.04,-0.23,0.97,00:00:01:19,
295300268,SMP,1,102.00,79.00,3.76,104.00,100.00,4.06,538.97,412.21,558.28,427.33,705.08,462.80,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.10,-0.22,0.97,-0.04,-0.21,0.98,00:00:01:19,
295317022,SMP,1,101.00,95.00,3.84,104.00,100.00,4.16,535.35,412.40,551.53,433.69,707.10,445.99,37.19,0.38,-22.27,-27.35,0.03,-22.21,-0.09,-0.23,0.97,-0.04,-0.19,0.98,00:00:01:20,
295333653,SMP,1,102.00,93.00,3.98,104.00,98.00,4.10,535.19,403.55,551.65,424.41,706.08,441.90,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.09,-0.22,0.97,-0.04,-0.19,0.98,00:00:01:20,
295350378,SMP,1,53.00,50.00,0.00,106.00,100.00,4.02,531.13,418.79,551.65,424.41,695.02,479.25,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.09,-0.22,0.97,-0.03,-0.23,0.97,00:00:01:21,
295366884,SMP,1,106.00,89.00,3.86,108.00,108.00,4.22,521.43,484.39,548.47,497.51,678.82,525.11,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.08,-0.30,0.95,-0.01,-0.28,0.96,00:00:01:21,
295383520,SMP,1,106.00,106.00,4.00,110.00,110.00,4.26,528.10,523.81,556.53,539.43,685.38,548.01,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.09,-0.35,0.93,-0.02,-0.30,0.95,00:00:01:21,
295400199,SMP,1,107.00,105.00,4.04,110.00,110.00,4.24,529.18,517.73,553.68,534.74,689.78,546.23,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.09,-0.34,0.94,-0.02,-0.30,0.95,00:00:01:22,
295416766,SMP,1,108.00,86.00,3.96,110.00,102.00,4.20,524.13,483.56,544.58,501.61,688.10,522.11,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.08,-0.31,0.95,-0.02,-0.27,0.96,00:00:01:22,
295433386,SMP,1,109.00,79.00,3.94,110.00,110.00,4.26,524.79,463.67,540.16,477.79,691.39,521.69,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.08,-0.28,0.96,-0.02,-0.27,0.96,00:00:01:23,
295450011,SMP,1,107.00,105.00,4.10,110.00,110.00,4.36,519.52,475.99,535.96,496.00,688.97,508.33,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.07,-0.30,0.95,-0.02,-0.26,0.97,00:00:01:23,
295466641,SMP,1,106.00,96.00,4.08,110.00,94.00,4.20,513.99,463.41,531.60,481.95,686.61,480.03,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.07,-0.29,0.96,-0.02,-0.23,0.97,00:00:01:24,
295483383,SMP,1,108.00,91.00,4.16,112.00,82.00,4.28,511.37,453.18,529.12,471.48,685.14,466.90,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.27,0.96,-0.01,-0.22,0.98,00:00:01:24,
295500012,SMP,1,108.00,103.00,4.08,112.00,110.00,4.42,511.44,440.72,524.78,461.81,684.93,474.58,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.26,0.96,-0.01,-0.22,0.97,00:00:01:25,
295516630,SMP,1,110.00,85.00,4.04,112.00,98.00,4.36,511.75,409.79,525.60,429.74,683.02,455.91,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.23,0.97,-0.01,-0.20,0.98,00:00:01:25,
295533391,SMP,1,108.00,102.00,4.12,112.00,108.00,4.46,509.86,424.52,522.46,445.99,683.55,462.83,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.25,0.97,-0.01,-0.21,0.98,00:00:01:26,
295549873,SMP,1,108.00,102.00,4.14,112.00,108.00,4.44,510.98,422.09,522.55,443.75,685.84,460.25,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.24,0.97,-0.01,-0.21,0.98,00:00:01:26,
295566664,SMP,1,109.00,104.00,4.16,114.00,110.00,4.48,510.39,418.23,521.64,439.98,685.90,455.61,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.05,-0.24,0.97,-0.01,-0.20,0.98,00:00:01:27,
295583125,SMP,1,109.00,102.00,4.20,114.00,108.00,4.50,512.34,416.17,524.47,437.87,687.35,452.30,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.24,0.97,-0.02,-0.20,0.98,00:00:01:27,
295599760,SMP,1,109.00,102.00,4.16,114.00,108.00,4.48,512.49,416.09,522.93,437.85,689.22,452.42,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.24,0.97,-0.02,-0.20,0.98,00:00:01:27,
295616369,SMP,1,111.00,104.00,4.20,116.00,110.00,4.50,515.45,418.45,526.77,440.15,691.26,454.57,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.24,0.97,-0.02,-0.20,0.98,00:00:01:28,
295632957,SMP,1,111.00,105.00,4.24,116.00,112.00,4.58,516.83,423.18,527.23,444.77,693.52,459.07,37.19,0.38,-22.27,-27.35,0.03,-22.22,-0.06,-0.24,0.97,-0.02,-0.21,0.98,00:00:01:29,
